"id","user_choice","carrier_1","carrier_2","amount_of_delays_1","amount_of_delays_2","amount_of_flights_1","amount_of_flights_2","chance_of_accident_1","chance_of_accident_2","chance_of_delay_1","chance_of_delay_2","mean_of_delay_1","mean_of_delay_2","number_of_accidents_1","number_of_accidents_2"
"576","1","Northwest","Mesa","1338000","611135","3203925","1803317","0.00","0.00","0.42","0.34","12.10","13.07","120","0"
"577","1","Delta","Virgin","294308014","145536","1020209890","389060","0.00","0.00","0.29","0.37","9.97","13.78","16170","0"
"578","1","Air","Sky","529686","2882553","1482255","8819493","0.00","0.00","0.36","0.33","10.80","12.56","0","0"
"579","1","9","Alaska","1615","3681525","7800","11763350","0.00","0.00","0.21","0.31","2.97","7.98","0","825"
"580","1","Virgin","Allegiant","145536","406062","389060","1161735","0.00","0.00","0.37","0.35","13.78","16.41","0","135"
"581","1","USAirways","Republic","1069473","2947750","3113545","11138260","0.00","0.00","0.34","0.26","9.55","10.67","90","450"
"582","1","Southwest","United","421452433","139137108","1196851644","429971388","0.00","0.00","0.35","0.32","10.22","12.70","12045","10890"
"583","1","Continental","Delta","4348960","294308014","10412030","1020209890","0.00","0.00","0.42","0.29","12.91","9.97","480","16170"
"584","1","United","Jetblue","139137108","18165240","429971388","48988935","0.00","0.00","0.32","0.37","12.70","16.17","10890","2475"
"585","1","USAirways","Virgin","1069473","145536","3113545","389060","0.00","0.00","0.34","0.37","9.55","13.78","90","0"
"586","1","Delux","Mesa","579635","611135","1483590","1803317","0.00","0.00","0.39","0.34","14.46","13.07","0","0"
"587","1","Delux","Frontier","579635","530019","1483590","1324472","0.00","0.00","0.39","0.40","14.46","14.50","0","0"
"588","1","Horizon","Delta","25049","294308014","88860","1020209890","0.00","0.00","0.28","0.29","6.72","9.97","0","16170"
"589","1","American","Sky","248202548","2882553","708665648","8819493","0.00","0.00","0.35","0.33","13.13","12.56","12540","0"
"590","1","Spirit","Jetblue","2823656","18165240","8540784","48988935","0.00","0.00","0.33","0.37","14.37","16.17","648","2475"
"591","1","Frontier","Southwest","530019","421452433","1324472","1196851644","0.00","0.00","0.40","0.35","14.50","10.22","0","12045"
"592","1","Endeavor","Southwest","1635432","421452433","5993664","1196851644","0.00","0.00","0.27","0.35","10.87","10.22","279","12045"
"593","1","Atlantic","American","11143434","248202548","31170774","708665648","0.00","0.00","0.36","0.35","15.97","13.13","918","12540"
"594","1","USAirways","Atlantic","1069473","11143434","3113545","31170774","0.00","0.00","0.34","0.36","9.55","15.97","90","918"
"595","1","American","USAirways","248202548","1069473","708665648","3113545","0.00","0.00","0.35","0.34","13.13","9.55","12540","90"
"596","1","United","Horizon","139137108","25049","429971388","88860","0.00","0.00","0.32","0.28","12.70","6.72","10890","0"
"597","1","Northwest","Envoy","1338000","6369892","3203925","17740932","0.00","0.00","0.42","0.36","12.10","13.31","120","564"
"598","1","Alaska","Sky","3681525","2882553","11763350","8819493","0.00","0.00","0.31","0.33","7.98","12.56","825","0"
"599","1","9","Northwest","1615","1338000","7800","3203925","0.00","0.00","0.21","0.42","2.97","12.10","0","120"
"600","1","Atlantic","Delux","11143434","579635","31170774","1483590","0.00","0.00","0.36","0.39","15.97","14.46","918","0"
"601","1","Northwest","Endeavor","1338000","1635432","3203925","5993664","0.00","0.00","0.42","0.27","12.10","10.87","120","279"
"602","1","Delta","Endeavor","294308014","1635432","1020209890","5993664","0.00","0.00","0.29","0.27","9.97","10.87","16170","279"
"603","1","Southwest","USAirways","421452433","1069473","1196851644","3113545","0.00","0.00","0.35","0.34","10.22","9.55","12045","90"
"604","1","United","Air","139137108","529686","429971388","1482255","0.00","0.00","0.32","0.36","12.70","10.80","10890","0"
"605","1","Air","9","529686","1615","1482255","7800","0.00","0.00","0.36","0.21","10.80","2.97","0","0"
"606","1","United","Hawaiian","139137108","283846","429971388","974254","0.00","0.00","0.32","0.29","12.70","4.97","10890","0"
"607","1","9","Allegiant","1615","406062","7800","1161735","0.00","0.00","0.21","0.35","2.97","16.41","0","135"
"608","1","Delux","Delta","579635","294308014","1483590","1020209890","0.00","0.00","0.39","0.29","14.46","9.97","0","16170"
"609","1","9","United","1615","139137108","7800","429971388","0.00","0.00","0.21","0.32","2.97","12.70","0","10890"
"610","1","Comair","Jetblue","512409","18165240","1418873","48988935","0.00","0.00","0.36","0.37","14.28","16.17","81","2475"
"611","1","Hawaiian","Delux","283846","579635","974254","1483590","0.00","0.00","0.29","0.39","4.97","14.46","0","0"
"612","1","Horizon","Jetblue","25049","18165240","88860","48988935","0.00","0.00","0.28","0.37","6.72","16.17","0","2475"
