"id"	"user_choice"	"carrier_1"	"carrier_2"	"amount_of_delays_1"	"amount_of_delays_2"	"amount_of_flights_1"	"amount_of_flights_2"	"chance_of_accident_1"	"chance_of_accident_2"	"chance_of_delay_1"	"chance_of_delay_2"	"mean_of_delay_1"	"mean_of_delay_2"	"number_of_accidents_1"	"number_of_accidents_2"
"84"	"1"	"Air"	"American"	"529686"	"248202548"	"1482255"	"708665648"	"0.00"	"0.00"	"0.36"	"0.35"	"10.80"	"13.13"	"0"	"12540"
"85"	"2"	"Envoy"	"Delta"	"6369892"	"294308014"	"17740932"	"1020209890"	"0.00"	"0.00"	"0.36"	"0.29"	"13.31"	"9.97"	"564"	"16170"
"86"	"1"	"Republic"	"Endeavor"	"2947750"	"1635432"	"11138260"	"5993664"	"0.00"	"0.00"	"0.26"	"0.27"	"10.67"	"10.87"	"450"	"279"
"87"	"2"	"Delux"	"Sky"	"579635"	"2882553"	"1483590"	"8819493"	"0.00"	"0.00"	"0.39"	"0.33"	"14.46"	"12.56"	"0"	"0"
"88"	"1"	"Sky"	"Envoy"	"2882553"	"6369892"	"8819493"	"17740932"	"0.00"	"0.00"	"0.33"	"0.36"	"12.56"	"13.31"	"0"	"564"
"89"	"2"	"Spirit"	"American"	"2823656"	"248202548"	"8540784"	"708665648"	"0.00"	"0.00"	"0.33"	"0.35"	"14.37"	"13.13"	"648"	"12540"
"90"	"1"	"Delta"	"American"	"294308014"	"248202548"	"1020209890"	"708665648"	"0.00"	"0.00"	"0.29"	"0.35"	"9.97"	"13.13"	"16170"	"12540"
"91"	"1"	"9"	"Endeavor"	"1615"	"1635432"	"7800"	"5993664"	"0.00"	"0.00"	"0.21"	"0.27"	"2.97"	"10.87"	"0"	"279"
"92"	"2"	"Spirit"	"Alaska"	"2823656"	"3681525"	"8540784"	"11763350"	"0.00"	"0.00"	"0.33"	"0.31"	"14.37"	"7.98"	"648"	"825"
"93"	"2"	"United"	"Delux"	"139137108"	"579635"	"429971388"	"1483590"	"0.00"	"0.00"	"0.32"	"0.39"	"12.70"	"14.46"	"10890"	"0"
"94"	"1"	"United"	"Northwest"	"139137108"	"1338000"	"429971388"	"3203925"	"0.00"	"0.00"	"0.32"	"0.42"	"12.70"	"12.10"	"10890"	"120"
"95"	"2"	"Delux"	"Mesa"	"579635"	"611135"	"1483590"	"1803317"	"0.00"	"0.00"	"0.39"	"0.34"	"14.46"	"13.07"	"0"	"0"
"96"	"2"	"Allegiant"	"American"	"406062"	"248202548"	"1161735"	"708665648"	"0.00"	"0.00"	"0.35"	"0.35"	"16.41"	"13.13"	"135"	"12540"
"97"	"1"	"Delta"	"Southwest"	"294308014"	"421452433"	"1020209890"	"1196851644"	"0.00"	"0.00"	"0.29"	"0.35"	"9.97"	"10.22"	"16170"	"12045"
"98"	"1"	"Republic"	"Alaska"	"2947750"	"3681525"	"11138260"	"11763350"	"0.00"	"0.00"	"0.26"	"0.31"	"10.67"	"7.98"	"450"	"825"
"99"	"1"	"Mesa"	"Envoy"	"611135"	"6369892"	"1803317"	"17740932"	"0.00"	"0.00"	"0.34"	"0.36"	"13.07"	"13.31"	"0"	"564"
"100"	"1"	"Envoy"	"Allegiant"	"6369892"	"406062"	"17740932"	"1161735"	"0.00"	"0.00"	"0.36"	"0.35"	"13.31"	"16.41"	"564"	"135"
"101"	"2"	"Continental"	"Atlantic"	"4348960"	"11143434"	"10412030"	"31170774"	"0.00"	"0.00"	"0.42"	"0.36"	"12.91"	"15.97"	"480"	"918"
"102"	"1"	"Allegiant"	"Horizon"	"406062"	"25049"	"1161735"	"88860"	"0.00"	"0.00"	"0.35"	"0.28"	"16.41"	"6.72"	"135"	"0"
"103"	"1"	"Republic"	"Continental"	"2947750"	"4348960"	"11138260"	"10412030"	"0.00"	"0.00"	"0.26"	"0.42"	"10.67"	"12.91"	"450"	"480"
"104"	"2"	"United"	"Delux"	"139137108"	"579635"	"429971388"	"1483590"	"0.00"	"0.00"	"0.32"	"0.39"	"12.70"	"14.46"	"10890"	"0"
"105"	"1"	"Endeavor"	"Spirit"	"1635432"	"2823656"	"5993664"	"8540784"	"0.00"	"0.00"	"0.27"	"0.33"	"10.87"	"14.37"	"279"	"648"
"106"	"1"	"Delux"	"Virgin"	"579635"	"145536"	"1483590"	"389060"	"0.00"	"0.00"	"0.39"	"0.37"	"14.46"	"13.78"	"0"	"0"
"107"	"2"	"9"	"Air"	"1615"	"529686"	"7800"	"1482255"	"0.00"	"0.00"	"0.21"	"0.36"	"2.97"	"10.80"	"0"	"0"
"108"	"2"	"Horizon"	"Atlantic"	"25049"	"11143434"	"88860"	"31170774"	"0.00"	"0.00"	"0.28"	"0.36"	"6.72"	"15.97"	"0"	"918"
"109"	"1"	"Delux"	"Allegiant"	"579635"	"406062"	"1483590"	"1161735"	"0.00"	"0.00"	"0.39"	"0.35"	"14.46"	"16.41"	"0"	"135"
"110"	"2"	"Allegiant"	"Northwest"	"406062"	"1338000"	"1161735"	"3203925"	"0.00"	"0.00"	"0.35"	"0.42"	"16.41"	"12.10"	"135"	"120"
"111"	"2"	"Continental"	"United"	"4348960"	"139137108"	"10412030"	"429971388"	"0.00"	"0.00"	"0.42"	"0.32"	"12.91"	"12.70"	"480"	"10890"
"112"	"1"	"United"	"Hawaiian"	"139137108"	"283846"	"429971388"	"974254"	"0.00"	"0.00"	"0.32"	"0.29"	"12.70"	"4.97"	"10890"	"0"
"113"	"1"	"American"	"Spirit"	"248202548"	"2823656"	"708665648"	"8540784"	"0.00"	"0.00"	"0.35"	"0.33"	"13.13"	"14.37"	"12540"	"648"
"114"	"1"	"Atlantic"	"Jetblue"	"11143434"	"18165240"	"31170774"	"48988935"	"0.00"	"0.00"	"0.36"	"0.37"	"15.97"	"16.17"	"918"	"2475"
"115"	"1"	"Delux"	"Envoy"	"579635"	"6369892"	"1483590"	"17740932"	"0.00"	"0.00"	"0.39"	"0.36"	"14.46"	"13.31"	"0"	"564"
"116"	"2"	"Jetblue"	"United"	"18165240"	"139137108"	"48988935"	"429971388"	"0.00"	"0.00"	"0.37"	"0.32"	"16.17"	"12.70"	"2475"	"10890"
"117"	"1"	"USAirways"	"Envoy"	"1069473"	"6369892"	"3113545"	"17740932"	"0.00"	"0.00"	"0.34"	"0.36"	"9.55"	"13.31"	"90"	"564"
"118"	"2"	"Spirit"	"Republic"	"2823656"	"2947750"	"8540784"	"11138260"	"0.00"	"0.00"	"0.33"	"0.26"	"14.37"	"10.67"	"648"	"450"
"119"	"2"	"Republic"	"USAirways"	"2947750"	"1069473"	"11138260"	"3113545"	"0.00"	"0.00"	"0.26"	"0.34"	"10.67"	"9.55"	"450"	"90"
"120"	"1"	"Hawaiian"	"Envoy"	"283846"	"6369892"	"974254"	"17740932"	"0.00"	"0.00"	"0.29"	"0.36"	"4.97"	"13.31"	"0"	"564"
"121"	"1"	"Hawaiian"	"Envoy"	"283846"	"6369892"	"974254"	"17740932"	"0.00"	"0.00"	"0.29"	"0.36"	"4.97"	"13.31"	"0"	"564"
"122"	"1"	"Mesa"	"Atlantic"	"611135"	"11143434"	"1803317"	"31170774"	"0.00"	"0.00"	"0.34"	"0.36"	"13.07"	"15.97"	"0"	"918"
"123"	"1"	"Air"	"Frontier"	"529686"	"530019"	"1482255"	"1324472"	"0.00"	"0.00"	"0.36"	"0.40"	"10.80"	"14.50"	"0"	"0"
"124"	"2"	"Virgin"	"Republic"	"145536"	"2947750"	"389060"	"11138260"	"0.00"	"0.00"	"0.37"	"0.26"	"13.78"	"10.67"	"0"	"450"
"125"	"2"	"Spirit"	"Endeavor"	"2823656"	"1635432"	"8540784"	"5993664"	"0.00"	"0.00"	"0.33"	"0.27"	"14.37"	"10.87"	"648"	"279"
"126"	"2"	"Horizon"	"Atlantic"	"25049"	"11143434"	"88860"	"31170774"	"0.00"	"0.00"	"0.28"	"0.36"	"6.72"	"15.97"	"0"	"918"
"127"	"2"	"Allegiant"	"United"	"406062"	"139137108"	"1161735"	"429971388"	"0.00"	"0.00"	"0.35"	"0.32"	"16.41"	"12.70"	"135"	"10890"
"128"	"2"	"Spirit"	"USAirways"	"2823656"	"1069473"	"8540784"	"3113545"	"0.00"	"0.00"	"0.33"	"0.34"	"14.37"	"9.55"	"648"	"90"
"129"	"1"	"Mesa"	"Southwest"	"611135"	"421452433"	"1803317"	"1196851644"	"0.00"	"0.00"	"0.34"	"0.35"	"13.07"	"10.22"	"0"	"12045"
"130"	"2"	"Comair"	"Air"	"512409"	"529686"	"1418873"	"1482255"	"0.00"	"0.00"	"0.36"	"0.36"	"14.28"	"10.80"	"81"	"0"
"131"	"1"	"Sky"	"Endeavor"	"2882553"	"1635432"	"8819493"	"5993664"	"0.00"	"0.00"	"0.33"	"0.27"	"12.56"	"10.87"	"0"	"279"
"132"	"1"	"Sky"	"Alaska"	"2882553"	"3681525"	"8819493"	"11763350"	"0.00"	"0.00"	"0.33"	"0.31"	"12.56"	"7.98"	"0"	"825"
"133"	"2"	"USAirways"	"Southwest"	"1069473"	"421452433"	"3113545"	"1196851644"	"0.00"	"0.00"	"0.34"	"0.35"	"9.55"	"10.22"	"90"	"12045"
"134"	"1"	"Continental"	"Horizon"	"4348960"	"25049"	"10412030"	"88860"	"0.00"	"0.00"	"0.42"	"0.28"	"12.91"	"6.72"	"480"	"0"
"135"	"2"	"Envoy"	"Frontier"	"6369892"	"530019"	"17740932"	"1324472"	"0.00"	"0.00"	"0.36"	"0.40"	"13.31"	"14.50"	"564"	"0"
"136"	"2"	"Horizon"	"Delux"	"25049"	"579635"	"88860"	"1483590"	"0.00"	"0.00"	"0.28"	"0.39"	"6.72"	"14.46"	"0"	"0"
"137"	"1"	"USAirways"	"Republic"	"1069473"	"2947750"	"3113545"	"11138260"	"0.00"	"0.00"	"0.34"	"0.26"	"9.55"	"10.67"	"90"	"450"
"138"	"1"	"Delux"	"Alaska"	"579635"	"3681525"	"1483590"	"11763350"	"0.00"	"0.00"	"0.39"	"0.31"	"14.46"	"7.98"	"0"	"825"
